Ion	Charge	Crystal Radius	Ionic Radius
U	4	1.03	0.89
U	4	1.09	0.95
U	4	1.14	1
U	4	1.19	1.05
U	4	1.31	1.17
U	5	0.9	0.76
U	5	0.98	0.84
U	6	0.59	0.45
U	6	0.66	0.52
U	6	0.87	0.73
U	6	0.95	0.81
U	6	1	0.86
V	2	0.93	0.79
V	3	0.78	0.64
V	4	0.67	0.53
V	4	0.72	0.58
V	4	0.86	0.72
V	5	0.495	0.355
V	5	0.6	0.46
V	5	0.68	0.54
W	4	0.8	0.66
W	5	0.76	0.62
W	6	0.56	0.42
W	6	0.65	0.51
W	6	0.74	0.6
Xe	8	0.54	0.4
Xe	8	0.62	0.48
Y	3	1.04	0.9
Y	3	1.1	0.96
Y	3	1.159	1.019
Y	3	1.215	1.075
Yb	2	1.16	1.02
Yb	2	1.22	1.08
Yb	2	1.28	1.14
Yb	3	1.008	0.868
Yb	3	1.065	0.925
Yb	3	1.125	0.985
Yb	3	1.182	1.042
Zn	2	0.74	0.6
Zn	2	0.82	0.68
Zn	2	0.88	0.74
Zn	2	1.04	0.9
Zr	4	0.73	0.59
Zr	4	0.8	0.66
Zr	4	0.86	0.72
Zr	4	0.92	0.78
Zr	4	0.98	0.84
Zr	4	1.03	0.89
